Timestamp,Activity,wait_time
1065,32,2.0
1066,32,1.0
1072,32,6.0
1080,33,8.0
1090,33,10.0
1091,34,1.0
1097,34,6.0
1099,34,2.0
1105,34,6.0
1110,35,5.0
1117,35,7.0
1127,36,10.0
1131,35,4.0
1133,36,2.0
1140,36,7.0
1150,36,10.0
1155,36,5.0
1160,38,5.0
1167,38,7.0
1171,38,4.0
1176,38,5.0
1177,38,1.0
1185,38,8.0
1187,37,2.0
1197,39,10.0
1201,39,4.0
1206,40,5.0
1210,40,4.0
1213,40,3.0
1214,41,1.0
1220,41,6.0
1222,42,2.0
1225,42,3.0
1235,42,10.0
1240,42,5.0
1242,42,2.0
1250,42,8.0
1258,43,8.0
1266,43,8.0
1272,42,6.0
1277,44,5.0
1283,44,6.0
1284,45,1.0
1293,44,9.0
1297,45,4.0
1303,46,6.0
1309,46,6.0
1319,46,10.0
1322,46,3.0
1329,47,7.0
1336,47,7.0
1341,48,5.0
1351,48,10.0
1357,48,6.0
1360,49,3.0
1361,49,1.0
1369,49,8.0
1373,49,4.0
1381,49,8.0
1389,50,8.0
1398,51,9.0
1407,51,9.0
1412,51,5.0
1413,51,1.0
1417,52,4.0
1420,52,3.0
1421,52,1.0
1431,52,10.0
1440,53,9.0
1441,53,1.0
1450,54,9.0
1452,53,2.0
1461,53,9.0
1466,55,5.0
1470,54,4.0
1479,55,9.0
1484,55,5.0
1493,55,9.0
1501,55,8.0
1506,57,5.0
1508,57,2.0
1517,57,9.0
1523,57,6.0
1528,56,5.0
1530,58,2.0
1534,57,4.0
1540,59,6.0
1549,59,9.0
1559,59,10.0
1562,58,3.0
1571,59,9.0
1573,60,2.0
1579,59,6.0
1588,61,9.0
1594,61,6.0
1603,62,9.0
1613,61,10.0
1618,62,5.0
1623,62,5.0
1626,62,3.0
1630,62,4.0
1634,63,4.0
1639,63,5.0
1643,65,4.0
1645,64,2.0
1648,64,3.0
1654,64,6.0
1664,65,10.0
1670,65,6.0
1679,64,9.0
1686,65,7.0
1693,65,7.0
1701,66,8.0
1711,66,10.0
1716,67,5.0
1719,68,3.0
1720,67,1.0
1728,67,8.0
1729,68,1.0
1739,68,10.0
1740,69,1.0
1742,69,2.0
1748,70,6.0
1757,68,9.0
1763,69,6.0
1769,71,6.0
1775,71,6.0
1780,70,5.0
1789,71,9.0
1792,71,3.0
1795,71,3.0
1798,72,3.0
1804,72,6.0
1814,72,10.0
1824,73,10.0
1825,72,1.0
1834,73,9.0
1835,72,1.0
1838,74,3.0
1848,75,10.0
1856,75,8.0
1861,74,5.0
1871,75,10.0
1880,75,9.0
1886,75,6.0
1896,75,10.0
1903,76,7.0
1904,76,1.0
1912,76,8.0
1915,76,3.0
1920,77,5.0
1929,77,9.0
1938,77,9.0
1940,77,2.0
1948,77,8.0
1956,78,8.0
1964,78,8.0
1965,79,1.0
1971,79,6.0
1972,79,1.0
1976,79,4.0
1982,79,6.0
1984,80,2.0
1992,81,8.0
1993,81,1.0
1995,81,2.0
1999,81,4.0
2006,82,7.0
2008,81,2.0
2017,82,9.0
2025,81,8.0
2032,81,7.0
2033,83,1.0
2034,83,1.0
2038,83,4.0
2046,84,8.0
2055,82,9.0
2061,83,6.0
2067,84,6.0
2076,83,9.0
2085,84,9.0
2094,84,9.0
2101,84,7.0
2109,85,8.0
2116,85,7.0
2118,87,2.0
2123,85,5.0
2124,85,1.0
2132,86,8.0
2136,87,4.0
2143,85,7.0
2151,86,8.0
2159,87,8.0
2160,88,1.0
2168,87,8.0
2169,87,1.0
2173,88,4.0
2177,87,4.0
2184,88,7.0
2193,88,9.0
2194,89,1.0
2201,89,7.0
2203,89,2.0
2209,90,6.0
2212,88,3.0
2220,89,8.0
2227,90,7.0
2236,90,9.0
2240,90,4.0
2250,91,10.0
2258,90,8.0
2268,91,10.0
2276,92,8.0
2285,90,9.0
2290,91,5.0
2295,91,5.0
2304,91,9.0
2310,92,6.0
2314,91,4.0
2315,92,1.0
2320,92,5.0
2323,92,3.0
2326,92,3.0
2330,93,4.0
2332,92,2.0
2334,94,2.0
2344,93,10.0
2351,93,7.0
2361,94,10.0
2368,94,7.0
2370,93,2.0
2379,93,9.0
2384,93,5.0
2387,94,3.0
2394,94,7.0
2404,95,10.0
2407,95,3.0
2410,95,3.0
2414,95,4.0
2419,95,5.0
2428,95,9.0
2436,96,8.0
2446,95,10.0
2453,96,7.0
2461,96,8.0
2464,96,3.0
2465,96,1.0
2473,96,8.0
2478,96,5.0
2479,96,1.0
2483,97,4.0
2487,97,4.0
2493,97,6.0
2503,96,10.0
2509,96,6.0
2517,97,8.0
2521,96,4.0
2531,97,10.0
2535,97,4.0
2539,97,4.0
2543,98,4.0
2549,98,6.0
2551,98,2.0
2558,97,7.0
2568,98,10.0
2569,98,1.0
2570,98,1.0
2579,98,9.0
2580,99,1.0
2588,99,8.0
2589,98,1.0
2591,99,2.0
2594,99,3.0
2602,99,8.0
2611,99,9.0
2613,100,2.0
2622,99,9.0
2631,99,9.0
2632,99,1.0
2634,100,2.0
2641,99,7.0
2649,99,8.0
2651,99,2.0
2658,99,7.0
2660,99,2.0
2663,99,3.0
2671,99,8.0
2673,99,2.0
2679,100,6.0
2684,100,5.0
2685,100,1.0
2689,100,4.0
2690,100,1.0
2693,100,3.0
2698,99,5.0
2702,100,4.0
2708,100,6.0
2709,100,1.0
2712,100,3.0
2714,100,2.0
2715,99,1.0
2719,100,4.0
2727,100,8.0
2732,100,5.0
2733,99,1.0
2740,100,7.0
2742,100,2.0
2752,100,10.0
2761,100,9.0
2770,100,9.0
2775,100,5.0
2778,100,3.0
2783,100,5.0
2788,100,5.0
2790,100,2.0
2794,100,4.0
2797,99,3.0
2803,100,6.0
2806,100,3.0
2811,100,5.0
2814,99,3.0
2822,100,8.0
2828,99,6.0
2829,100,1.0
2830,99,1.0
2833,100,3.0
2834,99,1.0
2843,99,9.0
2845,100,2.0
2852,99,7.0
2862,100,10.0
2867,100,5.0
2869,100,2.0
2871,100,2.0
2872,100,1.0
2882,99,10.0
2890,98,8.0
2891,99,1.0
2892,99,1.0
2900,99,8.0
2902,100,2.0
2911,99,9.0
2920,100,9.0
2921,99,1.0
2923,98,2.0
2930,100,7.0
2932,99,2.0
2936,100,4.0
2944,99,8.0
2948,99,4.0
2951,98,3.0
2953,98,2.0
2963,99,10.0
2969,98,6.0
2974,98,5.0
2980,98,6.0
2984,98,4.0
2994,98,10.0
2997,98,3.0
3007,97,10.0
3016,97,9.0
3019,98,3.0
3020,97,1.0
3022,97,2.0
3025,97,3.0
3031,97,6.0
3035,97,4.0
3043,97,8.0
3046,97,3.0
3054,97,8.0
3059,96,5.0
3067,96,8.0
3073,96,6.0
3076,96,3.0
3077,97,1.0
3084,96,7.0
3093,96,9.0
3099,95,6.0
3107,95,8.0
3110,96,3.0
3115,96,5.0
3123,95,8.0
3125,94,2.0
3131,95,6.0
3140,95,9.0
3144,94,4.0
3149,95,5.0
3156,94,7.0
3164,95,8.0
3171,95,7.0
3180,92,9.0
3188,93,8.0
3196,93,8.0
3202,94,6.0
3209,93,7.0
3219,93,10.0
3220,93,1.0
3229,93,9.0
3239,92,10.0
3249,92,10.0
3259,93,10.0
3268,92,9.0
3269,92,1.0
3272,92,3.0
3279,91,7.0
3286,91,7.0
3290,91,4.0
3298,91,8.0
3306,91,8.0
3314,90,8.0
3318,91,4.0
3324,91,6.0
3331,90,7.0
3341,90,10.0
3345,89,4.0
3353,89,8.0
3358,89,5.0
3359,90,1.0
3361,89,2.0
3371,89,10.0
3377,89,6.0
3381,88,4.0
3382,88,1.0
3391,87,9.0
3398,87,7.0
3408,87,10.0
3418,87,10.0
3424,87,6.0
3432,88,8.0
3441,87,9.0
3446,86,5.0
3456,87,10.0
3462,86,6.0
3467,86,5.0
3468,86,1.0
3472,86,4.0
3479,86,7.0
3489,84,10.0
3496,85,7.0
3502,84,6.0
3506,84,4.0
3514,84,8.0
3523,84,9.0
3531,83,8.0
3536,84,5.0
3541,83,5.0
3546,83,5.0
3552,82,6.0
3559,82,7.0
3569,83,10.0
3577,82,8.0
3583,82,6.0
3586,81,3.0
3593,82,7.0
3599,81,6.0
3605,81,6.0
3611,80,6.0
3617,80,6.0
3625,81,8.0
3626,80,1.0
3628,80,2.0
3638,80,10.0
3646,80,8.0
3655,78,9.0
3658,79,3.0
3666,78,8.0
3667,78,1.0
3675,78,8.0
3683,78,8.0
3693,77,10.0
3701,77,8.0
3703,77,2.0
3711,76,8.0
3718,77,7.0
3728,76,10.0
3730,76,2.0
3739,75,9.0
3744,75,5.0
3754,74,10.0
3760,75,6.0
3768,75,8.0
3776,75,8.0
3785,74,9.0
3786,73,1.0
3789,73,3.0
3791,74,2.0
3797,73,6.0
3800,72,3.0
3810,72,10.0
3811,72,1.0
3819,72,8.0
3827,71,8.0
3829,71,2.0
3837,71,8.0
3843,71,6.0
3852,70,9.0
3859,70,7.0
3862,70,3.0
3866,69,4.0
3873,69,7.0
3874,68,1.0
3875,68,1.0
3879,68,4.0
3885,68,6.0
3890,68,5.0
3891,67,1.0
3894,67,3.0
3897,66,3.0
3902,67,5.0
3906,67,4.0
3910,66,4.0
3911,65,1.0
3920,65,9.0
3927,65,7.0
3937,64,10.0
3938,64,1.0
3943,64,5.0
3946,63,3.0
3947,64,1.0
3953,63,6.0
3955,63,2.0
3962,62,7.0
3965,62,3.0
3969,62,4.0
3977,62,8.0
3986,61,9.0
3988,62,2.0
3998,61,10.0
4005,60,7.0
4014,60,9.0
4024,60,10.0
4025,60,1.0
4029,60,4.0
4033,59,4.0
4041,58,8.0
4047,59,6.0
4056,57,9.0
4059,59,3.0
4066,58,7.0
4075,56,9.0
4082,57,7.0
4087,57,5.0
4097,56,10.0
4104,56,7.0
4107,55,3.0
4110,56,3.0
4116,54,6.0
4124,54,8.0
4132,54,8.0
4142,54,10.0
4146,54,4.0
4156,54,10.0
4165,53,9.0
4170,52,5.0
4180,52,10.0
4189,52,9.0
4198,51,9.0
4200,51,2.0
4208,50,8.0
4211,51,3.0
4214,51,3.0
4223,51,9.0
4232,50,9.0
4233,50,1.0
4235,50,2.0
4244,49,9.0
4252,49,8.0
4262,49,10.0
4267,48,5.0
4270,48,3.0
4275,47,5.0
4279,47,4.0
4286,46,7.0
4293,47,7.0
4296,45,3.0
4300,46,4.0
4302,46,2.0
4308,46,6.0
4316,45,8.0
4323,45,7.0
4328,44,5.0
4331,44,3.0
4332,43,1.0
4339,44,7.0
4342,43,3.0
4351,43,9.0
4355,42,4.0
4360,42,5.0
4369,41,9.0
4374,41,5.0
4380,42,6.0
4386,41,6.0
4389,40,3.0
4396,40,7.0
4397,40,1.0
4401,40,4.0
4408,39,7.0
4412,39,4.0
4421,39,9.0
4431,39,10.0
4440,38,9.0
4447,37,7.0
4457,38,10.0
4459,38,2.0
4461,36,2.0
4466,37,5.0
4467,36,1.0
4477,37,10.0
4487,36,10.0
4492,36,5.0
4500,35,8.0
4509,35,9.0
4510,34,1.0
4516,34,6.0
4526,35,10.0
4530,34,4.0
4540,34,10.0
4545,34,5.0
4550,32,5.0
4555,32,5.0
4564,32,9.0
4574,33,10.0
4578,32,4.0
4582,31,4.0
4585,30,3.0
4591,30,6.0
4598,30,7.0
4600,30,2.0
4602,30,2.0
4608,31,6.0
4614,29,6.0
4624,30,10.0
4631,29,7.0
4640,29,9.0
4649,29,9.0
4652,28,3.0
4653,29,1.0
4661,27,8.0
4670,27,9.0
4678,27,8.0
4685,26,7.0
4691,27,6.0
4694,26,3.0
4699,26,5.0
4700,26,1.0
4704,25,4.0
4711,26,7.0
4714,25,3.0
4719,24,5.0
4721,25,2.0
4730,24,9.0
4738,24,8.0
4742,24,4.0
4750,22,8.0
4760,23,10.0
4763,23,3.0
4771,23,8.0
4773,22,2.0
4780,21,7.0
4790,22,10.0
4792,21,2.0
4802,21,10.0
4812,21,10.0
4815,21,3.0
4819,20,4.0
4825,20,6.0
4828,19,3.0
4832,20,4.0
4842,19,10.0
4849,19,7.0
4857,18,8.0
4864,20,7.0
4873,18,9.0
4882,19,9.0
4890,18,8.0
4900,17,10.0
4902,18,2.0
4912,17,10.0
4918,17,6.0
4927,17,9.0
4933,17,6.0
4934,17,1.0
4942,17,8.0
4950,15,8.0
4958,16,8.0
4966,15,8.0
4975,15,9.0
4978,15,3.0
4985,15,7.0
4987,15,2.0
4990,14,3.0
5000,14,10.0
5004,15,4.0
5006,13,2.0
5008,14,2.0
5018,13,10.0
5020,12,2.0
5023,13,3.0
5033,13,10.0
5042,12,9.0
5049,12,7.0
5058,13,9.0
5059,12,1.0
5069,12,10.0
5072,12,3.0
5074,11,2.0
5076,12,2.0
5082,12,6.0
5086,10,4.0
5094,11,8.0
5097,10,3.0
5107,10,10.0
5113,10,6.0
5120,10,7.0
5126,10,6.0
5128,9,2.0
5129,10,1.0
5138,10,9.0
5148,9,10.0
5153,8,5.0
5162,8,9.0
5171,7,9.0
5176,9,5.0
5183,8,7.0
5186,7,3.0
5191,8,5.0
5194,8,3.0
5195,8,1.0
5198,7,3.0
5206,6,8.0
5211,7,5.0
5217,8,6.0
5224,6,7.0
5225,7,1.0
5232,7,7.0
5236,6,4.0
5243,7,7.0
5252,6,9.0
5253,6,1.0
5258,6,5.0
5262,6,4.0
5268,5,6.0
5272,5,4.0
5279,5,7.0
5289,6,10.0
5294,4,5.0
5296,5,2.0
5303,4,7.0
5304,4,1.0
5314,4,10.0
5323,3,9.0
5333,4,10.0
5342,4,9.0
5349,4,7.0
5357,4,8.0
5359,4,2.0
5365,3,6.0
5367,4,2.0
5371,2,4.0
5378,3,7.0
5382,3,4.0
5383,3,1.0
5392,4,9.0
5395,2,3.0
5396,3,1.0
5406,3,10.0
5414,3,8.0
5421,3,7.0
5428,3,7.0
5432,2,4.0
5441,3,9.0
5448,4,7.0
5455,2,7.0
5461,3,6.0
5469,3,8.0
5477,2,8.0
5487,2,10.0
5490,2,3.0
5493,2,3.0
5502,3,9.0
5503,3,1.0
5513,2,10.0
5521,2,8.0
5525,2,4.0
5531,2,6.0
5541,1,10.0
5544,2,3.0
5551,1,7.0
5561,2,10.0
5564,2,3.0
5572,2,8.0
5576,1,4.0
5577,1,1.0
5584,1,7.0
5590,1,6.0
5600,1,10.0
5608,1,8.0
5611,1,3.0
5614,1,3.0
5622,1,8.0
5626,1,4.0
5632,2,6.0
5639,1,7.0
5649,1,10.0
5655,2,6.0
5657,1,2.0
5659,1,2.0
5662,1,3.0
5665,1,3.0
5668,1,3.0
5678,1,10.0
5685,5,7.0
